name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
Kepler-324 d,2.231155414294617,0.1949,519.9588404714613,0.46330085393318865,0.84,5194.0,0.86,1.129865257678619
Kepler-338 b,30.60687555506718,0.117,1101.650033998736,3.3617249275915504,1.74,5923.0,1.1,2.4435577993446325
Kepler-37 b,3.178284065946748,0.1003,733.0864841750935,0.48482641349999456,0.79,5417.0,0.87,0.2914334990044057
Kepler-37 d,5.403082912109472,0.2109,506.8427226841325,0.48482641349999456,0.79,5417.0,0.87,1.9391536664523916
Kepler-391 c,450.04502373805946,0.161,1132.37583824303,6.847640869227561,3.57,4940.0,1.22,3.542037910976623
Kepler-407 Ab,1.6689169630286371,0.0153,2194.7674745736945,0.9063594763685695,1.057,5476.0,0.96,1.1610262241106286
Kepler-411 Ad,15.198554403357349,0.2757,403.0832302530617,0.33206935736287485,0.82,4837.0,0.87,3.3760329063514214
Kepler-416 b,58.16259840682549,0.0658,1102.53267862486,1.0675327957325786,1.089,5620.27,1.0,2.710331540740973
Kepler-419 b,794.571016486687,0.37,779.6203483833475,4.669164077996226,1.74,6430.0,1.39,10.760621501701133
Kepler-420 Ab,460.8511895622784,0.382,512.7198072041273,1.069571803275786,1.13,5520.0,0.99,10.53644188708236
Kepler-425 b,79.4571016486687,0.0464,1088.8630758334111,0.4767117123308635,0.86,5170.0,0.93,10.96238315485803
Kepler-427 b,92.17023791245568,0.091,1131.452863714847,1.860699575795205,1.35,5800.0,0.96,13.787046299054577
Kepler-433 b,896.2761065969828,0.0679,1772.4908279776052,7.539492061459298,2.26,6360.0,1.46,16.253022059861088
Kepler-434 b,908.9892428607699,0.1143,1003.6278033153092,2.192744061552734,1.38,5977.0,1.2,12.666148225960708
Kepler-435 b,266.9758615395268,0.0948,1731.581710687836,13.394041720308179,3.21,6161.0,1.54,22.305871654567973
Kepler-447 b,435.4249170347045,0.0769,980.622734906563,0.9055527245979067,1.05,5493.0,1.0,18.494818206048823
Kepler-448 b,349.6112472541423,0.154,1032.9065606864428,4.236171249993311,1.491,6779.23,1.454,13.787046299054577
Kepler-454 Ab,5.403082912109472,0.09528,917.2637996983797,1.0723685526809708,1.066,5687.0,1.03,2.369578526520437
Kepler-45 b,160.50334533031076,0.03,789.9111696184455,0.05811330537789074,0.55,3820.0,0.59,10.760621501701133
Kepler-46 b,1906.9704395680487,0.1968,512.9233271473383,0.4473030209971529,0.79,5309.0,0.902,9.056856430598454
Kepler-494 b,11759.651044002967,0.08,1220.9652101279771,2.2917002929739874,1.4,6000.0,1.1,8.967184584750944
Kepler-51 b,2.2247988461627237,0.2514,511.9276683989506,0.7237370398391175,0.881,5670.0,0.985,7.095284802684185
Kepler-51 c,4.131769285730772,0.384,414.14206056037744,0.7237370398391175,0.881,5670.0,0.985,9.00081152694376
Kepler-539 b,308.2935543968345,0.4988,395.3773473272481,0.9341914680206115,0.95,5820.0,1.05,8.373108606011195
Kepler-55 Ac,69.79511808819058,0.2095,391.78655674545627,0.17255586737125914,0.715,4398.0,0.69,1.8494818206048824
Kepler-63 b,120.13913769278707,0.08,927.7180098610716,0.7064360062171571,0.9,5576.0,0.98,6.108894498361582
Kepler-65 d,10.806165824218944,0.084,1228.5995192418056,2.669199837075961,1.41,6211.0,1.25,1.5244213794076606
Kepler-68 b,7.650129746733823,0.0617,1261.8481907593728,1.6105059052524655,1.259,5793.0,1.064,2.309050030573368
Kepler-68 c,2.040458370337812,0.09059,1041.3807886049613,1.6105059052524655,1.259,5793.0,1.064,0.9269827064486288
Kepler-79 b,10.901514346197345,0.117,992.4094341500877,2.215388783622408,1.3,6174.0,1.17,3.474784026590991
Kepler-79 c,6.038739725298821,0.187,785.0542625285437,2.215388783622408,1.3,6174.0,1.17,3.721381602671642
